t,plant,axis,GA,SAM_height,SAM_temperature,Total_Transpiration,cohort,delta_teq,delta_teq_roots,mstruct,nb_leaves,senesced_mstruct,status,sum_TT,teq_since_primordium
0,1,MS,False,0,5.84000000,NA,1,1670.85866047,1670.85866047,0.05410729,10,0.00000000,vegetative,0.23206370,1670.85866047
1,1,MS,False,0,6.26400000,0.00035209,1,1792.16757692,1792.16757692,0.05450322,10,0.00000000,vegetative,0.48097587,3463.02623739
2,1,MS,False,0,5.41500000,0.00022398,1,1549.26363809,1549.26363809,0.05455913,10,0.00000000,vegetative,0.69615137,5012.28987548
3,1,MS,False,0,6.22300000,0.00007427,1,1780.43723358,1780.43723358,0.05462267,10,0.00000000,vegetative,0.94343432,6792.72710906
4,1,MS,False,0,5.95700000,0.00001373,1,1704.33305487,1704.33305487,0.05468283,10,0.00000000,vegetative,1.18014724,8497.06016393
5,1,MS,False,0,5.73300000,0.00000465,1,1640.24532543,1640.24532543,0.05474009,10,0.00000000,vegetative,1.40795910,10137.30548935
6,1,MS,False,0,5.59000000,0.00000313,1,1599.33217672,1599.33217672,0.05479533,10,0.00000000,vegetative,1.63008856,11736.63766607
7,1,MS,False,0,5.51100000,0.00000159,1,1576.72980785,1576.72980785,0.05484921,10,0.00000000,vegetative,1.84907882,13313.36747392
8,1,MS,False,0,5.48000000,0.00000159,1,1567.86052387,1567.86052387,0.05490223,10,0.00000000,vegetative,2.06683722,14881.22799779
9,1,MS,False,0,5.45500000,0.00000165,1,1560.70787549,1560.70787549,0.05495446,10,0.00000000,vegetative,2.28360220,16441.93587328
10,1,MS,False,0,5.45000000,0.00000168,1,1559.27734582,1559.27734582,0.05500611,10,0.00000000,vegetative,2.50016850,18001.21321910
11,1,MS,False,0,5.46600000,0.00000165,1,1563.85504078,1563.85504078,0.05506162,10,0.00000000,vegetative,2.71737059,19565.06825988
12,1,MS,False,0,5.44500000,0.00000350,1,1557.84681614,1557.84681614,0.05512520,10,0.00000000,vegetative,2.93373821,21122.91507602
13,1,MS,False,0,5.38500000,0.00000710,1,1540.68046004,1540.68046004,0.05518755,10,0.00000000,vegetative,3.14772160,22663.59553606
14,1,MS,False,0,5.34600000,0.00000711,1,1529.52232858,1529.52232858,0.05524892,10,0.00000000,vegetative,3.36015526,24193.11786463
15,1,MS,False,0,5.34700000,0.00000742,1,1529.80843451,1529.80843451,0.05530979,10,0.00000000,vegetative,3.57262865,25722.92629914
16,1,MS,False,0,5.40100000,0.00000955,1,1545.25815500,1545.25815500,0.05537075,10,0.00000000,vegetative,3.78724784,27268.18445415
17,1,MS,False,0,5.48900000,0.00000977,1,1570.43547728,1570.43547728,0.05543216,10,0.00000000,vegetative,4.00536388,28838.61993143
18,1,MS,False,0,5.60000000,0.00001207,1,1602.19323607,1602.19323607,0.05549424,10,0.00000000,vegetative,4.22789072,30440.81316750
19,1,MS,False,0,5.71200000,0.00001241,1,1634.23710079,1634.23710079,0.05555697,10,0.00000000,vegetative,4.45486809,32075.05026829
20,1,MS,False,0,5.84000000,0.00001500,1,1670.85866047,1670.85866047,0.05562048,10,0.00000000,vegetative,4.68693180,33745.90892876
21,1,MS,False,0,6.00100000,0.00001551,1,1716.92171601,1716.92171601,0.05568507,10,0.00000000,vegetative,4.92539315,35462.83064477
22,1,MS,False,0,6.20300000,0.00002638,1,1774.71511488,1774.71511488,0.05575112,10,0.00000000,vegetative,5.17188136,37237.54575965
23,1,MS,False,0,6.43300000,0.00002627,1,1840.51947993,1840.51947993,0.05581886,10,0.00000000,vegetative,5.42750906,39078.06523958
24,1,MS,False,0,6.62600000,0.00002117,1,1895.73792539,1895.73792539,0.05589209,10,0.00000000,vegetative,5.69080600,40973.80316497
25,1,MS,False,0,6.77300000,0.00002832,1,1937.79549784,1937.79549784,0.05596625,10,0.00000000,vegetative,5.95994426,42911.59866281
26,1,MS,False,0,6.93100000,0.00003892,1,1983.00023557,1983.00023557,0.05604122,10,0.00000000,vegetative,6.23536096,44894.59889838
27,1,MS,False,0,7.14000000,0.00002392,1,2042.79637599,2042.79637599,0.05612525,10,0.00000000,vegetative,6.51908268,46937.39527437
28,1,MS,False,0,7.30500000,0.00001432,1,2090.00385526,2090.00385526,0.05620836,10,0.00000000,vegetative,6.80936099,49027.39912963
29,1,MS,False,0,7.42500000,0.00001240,1,2124.33656747,2124.33656747,0.05628761,10,0.00000000,vegetative,7.10440774,51151.73569710
30,1,MS,False,0,7.50000000,0.00001250,1,2145.79451259,2145.79451259,0.05636663,10,0.00000000,vegetative,7.40243475,53297.53020969
31,1,MS,False,0,7.57000000,0.00001991,1,2165.82192804,2165.82192804,0.05644529,10,0.00000000,vegetative,7.70324335,55463.35213773
32,1,MS,False,0,7.53500000,0.00002546,1,2155.80822032,2155.80822032,0.05652248,10,0.00000000,vegetative,8.00266116,57619.16035805
33,1,MS,False,0,7.59000000,0.00002962,1,2171.54404674,2171.54404674,0.05659909,10,0.00000000,vegetative,8.30426450,59790.70440479
34,1,MS,False,0,7.52000000,0.00003685,1,2151.51663129,2151.51663129,0.05667385,10,0.00000000,vegetative,8.60308626,61942.22103608
35,1,MS,False,0,7.36500000,0.00003199,1,2107.17021137,2107.17021137,0.05674593,10,0.00000000,vegetative,8.89574878,64049.39124745
36,1,MS,False,0,7.43000000,0.00002251,1,2125.76709714,2125.76709714,0.05681753,10,0.00000000,vegetative,9.19099421,66175.15834459
37,1,MS,False,0,7.53000000,0.00004005,1,2154.37769064,2154.37769064,0.05688894,10,0.00000000,vegetative,9.49021334,68329.53603523
38,1,MS,False,0,7.46500000,0.00005408,1,2135.78080487,2135.78080487,0.05695856,10,0.00000000,vegetative,9.78684956,70465.31684010
39,1,MS,False,0,7.16000000,0.00003760,1,2048.51849469,2048.51849469,0.05702421,10,0.00000000,vegetative,10.07136602,72513.83533478
40,1,MS,False,0,7.01500000,0.00004438,1,2007.03313411,2007.03313411,0.05708750,10,0.00000000,vegetative,10.35012062,74520.86846890
41,1,MS,False,0,7.03500000,0.00004272,1,2012.75525281,2012.75525281,0.05714997,10,0.00000000,vegetative,10.62966996,76533.62372171
42,1,MS,False,0,6.99600000,0.00002725,1,2001.59712135,2001.59712135,0.05721108,10,0.00000000,vegetative,10.90766956,78535.22084305
43,1,MS,False,0,6.92800000,0.00003055,1,1982.14191776,1982.14191776,0.05727061,10,0.00000000,vegetative,11.18296705,80517.36276082
44,1,MS,False,0,6.72700000,0.00002958,1,1924.63462483,1924.63462483,0.05732746,10,0.00000000,vegetative,11.45027741,82441.99738564
45,1,MS,False,0,6.38100000,0.00014616,1,1825.64197131,1825.64197131,0.05738052,10,0.00000000,vegetative,11.70383880,84267.63935696
46,1,MS,False,0,6.25000000,0.00029538,1,1788.16209383,1788.16209383,0.05743186,10,0.00000000,vegetative,11.95219465,86055.80145078
47,1,MS,False,0,6.45200000,0.00030901,1,1845.95549270,1845.95549270,0.05748442,10,0.00000000,vegetative,12.20857735,87901.75694348
48,1,MS,False,0,6.75600000,0.00052359,1,1932.93169694,1932.93169694,0.05753913,10,0.00000000,vegetative,12.47704009,89834.68864042
49,1,MS,False,0,7.07500000,0.00046829,1,2024.19949021,2024.19949021,0.05759632,10,0.00000000,vegetative,12.75817891,91858.88813064
50,1,MS,False,0,7.19500000,0.00033681,1,2058.53220241,2058.53220241,0.05765450,10,0.00000000,vegetative,13.04408616,93917.42033305
51,1,MS,False,0,7.13500000,0.00026375,1,2041.36584631,2041.36584631,0.05771230,10,0.00000000,vegetative,13.32760919,95958.78617936
